,Название,Город,Описание,Ссылки
41,Coeval,Москва,"Coeval (перевод с англ. сверстник, современник) — российский бренд одежды, специализирующийся на производстве одежды в стиле стритвир. Первая коллекция бренда была выпущена в 2018 году.","['https://www.instagram.com/becoeval?ref=russianstreetwear.club', 'https://t.me/becoeval?ref=russianstreetwear.club', 'https://vk.com/becoeval?ref=russianstreetwear.club']"
42,CREEPY CLOTHING ,Санкт-Петербург,Скейтбордический бренд с криповыми принтами.,"['https://creepyclothing.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/creepy.clothing/?ref=russianstreetwear.club', 'https://vk.com/creepyclothing?ref=russianstreetwear.club']"
43,CREEPY CRAWL,Москва, ,"['https://www.instagram.com/creepycrawlc/?ref=russianstreetwear.club', 'https://vk.com/creepycrawlclothing?ref=russianstreetwear.club']"
44,CriminalQuarters,Москва, ,"['http://criminalquarters.ru/?ref=russianstreetwear.club', 'https://instagram.com/criminalquarters?ref=russianstreetwear.club', 'https://vk.com/criminalquarters?ref=russianstreetwear.club']"
45,CU8E,Иркутск,Cu8e - это импровизация различных стилей одежды и событий окружающих нас с вами.   Большая часть моделей выходит только лимитированно и производится небольшим тиражом для артистов либо в коллаборациях с другими брендами.,"['https://www.cu8e.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/cu8e/?ref=russianstreetwear.club', 'https://vk.com/becu8e?ref=russianstreetwear.club']"
46,current,Москва,"Бренд создавался в 2021, но мы достаточно долго работаем над вещами и делаем качество намного превышающее ценовой сегмент.","['http://currentcloset.ru/?ref=russianstreetwear.club', 'https://instagram.com/currentclosetru?ref=russianstreetwear.club', 'https://vk.com/yourcurrentcloset?ref=russianstreetwear.club']"
47,CYRELL,Москва,"CYRELL — бренд одежды, базирующийся в Москве с 2020 года.Для воплощения наших оригинальных принтов мы вдохновляемся glitch-эстетикой и новыми технологиями, которые окружают нас повсюду.","['https://www.instagram.com/cyrellwear/?ref=russianstreetwear.club', 'https://vk.com/cyrellwear?ref=russianstreetwear.club']"
48,CYRILL BELUSHKIN ,Санкт-Петербург,Создаёт субъективно интересные вещи.,"['https://www.instagram.com/cyrillbelushkin/?ref=russianstreetwear.club', 'https://vk.com/cyrillbelushkin?ref=russianstreetwear.club']"
49,D'VOS,Ярославль,"D'VOS (Дивос) - это молодой бренд, который был создан для того что бы дать понять людям, что все рамки только в их голове, и самовыражаться через одежду можно, а порой даже нужно.","['https://dvos.shop/?ref=russianstreetwear.club', 'https://instagram.com/wearenotdvos?ref=russianstreetwear.club', 'https://vk.com/wearenotdvos?ref=russianstreetwear.club']"
50,DA`HEAVENLY,Санкт-Петербург,"Молодёжный бренд одежды, базирующийся в Санкт-Петербурге. Мы работаем для людей, работаем качественно, оригинально. Ответственность, любовь, трудолюбие, целеустремлённость — то, что мы хотим привнести через призму нашего бренда.","['https://daheavenly.store/?ref=russianstreetwear.club', 'https://instagram.com/daheavenly.clothing?ref=russianstreetwear.club', 'https://vk.com/daheavenly?ref=russianstreetwear.club']"
51,dagettla,Санкт-Петербург,"Творческое объединение родом из Сибири, сейчас ведет деятельность в Санкт-Петербурге и Москве. Все вещи имеют свое название и производятся мелкими партиями до 500 штук. Коллектив из 4 человек и дизайнера с таргетологом.","['https://dagettla.com/?ref=russianstreetwear.club', 'https://www.instagram.com/dagettla_clo/?ref=russianstreetwear.club', 'https://vk.com/dagettla?ref=russianstreetwear.club']"
52,DAMN!,Санкт-Петербург,"DAMN! — Российский бренд одежды, завязанный на концепции ""Футуристического панка"".","['https://damnclothing.ru/?ref=russianstreetwear.club', 'https://instagram.com/damnmuravevv?ref=russianstreetwear.club', 'https://vk.com/damnclothinng?ref=russianstreetwear.club']"
53,DANIIL KIM,None,"Daniil Kim — прогрессивный дизайнер, чей стиль уходит корнями в городскую культуру.","['http://dkim.store/?ref=russianstreetwear.club', 'https://www.instagram.com/dkimbrand/?ref=russianstreetwear.club', 'https://vk.com/dkim_brand?ref=russianstreetwear.club']"
54,DE4444TH,Красноярск,"я просто хочу создавать одежду фэшн бренд базирующийся в Сибири 4444","['https://de4444th.com/?ref=russianstreetwear.club', 'https://www.instagram.com/de4444th?ref=russianstreetwear.club', 'https://vk.com/de4444th?ref=russianstreetwear.club']"
55,Decade Clothes,Санкт-Петербург,"Decade (Десятилетие) – это новое имя Caviar clothes.10 лет назад мы начали делать первые толстовки для друзей. За это время было множество успехов и неудач, много интересных продуктов от футболок до технологичных сноуборд штанов. Но еще больше было крутых моментов, сноубординга, скейтбординга и путешествий, которые всегда вдохновляли нас.Мы меняемся, но остаемся верны себе и вам, нашим покупателям, в плане качества и стиля.Встречайте Decade.","['https://decadestore.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/decadeclothes_/?ref=russianstreetwear.club']"
56,DECHARGE,Москва,"DECHARGE (Дешарж) - российский онлайн-магазин одежды. Компания была основана 10 декабря 2020 года двумя братьями в Москве. В первую очередь магазин ориентирован на молодежь и активно развивается в сегментах повседневной casual-одежды и streetwear. По данным на лето 2023 года суммарная аудитория составляет более 20 тысяч человек. В магазине представлены десятки регулярных моделей одежды, а количество довольных покупателей давно насчитывает тысячи человек по всей России. На протяжении всего времени главными ориентирами компании были удобство и простота онлайн-шоппинга для клиента. Эти простые правила лежат в основе магазина с первого дня открытия.«Мы не пытаемся изменить мир, мы делаем его удобнее». Одежда DECHARGE всё чаще пользуется спросом у медийных людей, сам же магазин избирательно подходит к вопросу сотрудничества с блоггерами и артистами разных жанров и нередко находит новые способы взаимодействия с ними. Команда DECHARGE использует весь арсенал возможностей онлайн-торговли и своевременно внедряет новые технологии и сервисы в работу магазина, чтобы делать покупки было еще удобнее.","['https://www.decharge.market/?ref=russianstreetwear.club', 'http://instagram.com/decharge.market?ref=russianstreetwear.club', 'http://vk.com/dechargemarket?ref=russianstreetwear.club']"
57,Defeez,Санкт-Петербург,"Defeez - магазин стильной уличной одежды. Функциональная, удобная и необычная одежда сочетает в себе бунтарский дух и неформальную эстетику. Составляй оригинальные смелые образы, подчеркивай свою индивидуальность. Defeez для Дерзких и Уверенных в себе!","['https://defeez.ru/?ref=russianstreetwear.club', 'https://instagram.com/defeezshop?ref=russianstreetwear.club', 'https://vk.com/defeezz?ref=russianstreetwear.club']"
58,DEITIED,Ростов-на-Дону,"В DEITIED мы создаём одежду с уникальным авторским дизайном, чтобы принести современную моду в каждый уголок нашей страны. Наша цель - быть вашими друзьями, радовать вас крутым качеством, приносить своё видение в культуру и вместе с вами изменить рувир!",['https://vk.com/deitied?ref=russianstreetwear.club']
59,DELUGE,Челябинск,"Идея бренда заключается в том, чтобы человек мог свободно самовыражаться и при этом чувствовать себя максимально комфортно.","['https://delugeclo.com/?ref=russianstreetwear.club', 'https://www.instagram.com/delugeclo/?ref=russianstreetwear.club', 'https://vk.com/delugeclo?ref=russianstreetwear.club']"
60,DEND,Москва,"Качество и комфорт - два незаменимых принципа нашей работы. Не важно какой ты сегодня, забит в угол или убийца на блоке, катаешь на споте или рыдаешь под дождем. Главное, что ты - это ты и нам это очень нравится.","['https://dendclothing.com/?ref=russianstreetwear.club', 'https://www.instagram.com/dendclothing/?ref=russianstreetwear.club', 'https://vk.com/dendclothing?ref=russianstreetwear.club']"
61,Diaper,Москва,None,"['https://www.instagram.com/fuckinggosha/?ref=russianstreetwear.club', 'https://vk.com/fuckdiaper?ref=russianstreetwear.club']"
62,DIKO,Калуга,Полный ррр в русском стритвире.,"['https://www.instagram.com/dikostreetwear?ref=russianstreetwear.club', 'https://vk.com/dikoclothing?ref=russianstreetwear.club']"
63,DMTRS (Demetros Design),Москва,Качественная концептуальная одежда с нестандартным видением.,"['https://demetros.design/?ref=russianstreetwear.club', 'http://instagram.com/demetrosdesign?ref=russianstreetwear.club', 'http://vk.com/demetrosdesign?ref=russianstreetwear.club']"
64,Don’t care,Москва,"Мы заметили две крайности. Одежда из большинства интернет-магазинов — стандартна. Её продают большими партиями, поэтому так легко встретить людей в одинаковых футболках или худи. Можно покупать только уникальные дизайнерские вещи, но они дорогие. И не всегда их качество соответствует высокой стоимости. Поэтому мы придумали и воплотили лимитированную коллекцию особенных худи и футболок. Каждая наша вещь — это авторская продуманная идея. У каждой модели есть своя яркая и запоминающаяся особенность. Наша цель — чтобы вы могли без труда выбрать уникальную и комфортную одежду за адекватную стоимость.","['https://dontcarecloths.com/?ref=russianstreetwear.club', 'https://instagram.com/dontcare_clothes?ref=russianstreetwear.club']"
65,Elapse Space,Омск,[эла́пс],"['https://elapse.space/?ref=russianstreetwear.club', 'https://instagram.com/elapse.space?ref=russianstreetwear.club', 'http://vk.com/elapse.space?ref=russianstreetwear.club']"
66,Empty→studios,Москва,"Empty→studios — московский бренд одежды и аксессуаров, фокусирующийся на простоте, функциональности и практичности материалов.","['https://emptymscw.com/?ref=russianstreetwear.club', 'https://www.instagram.com/emptymoscow?ref=russianstreetwear.club']"
67,enchant.,Москва,"Начатый в 2021 году культурный проект вдохновлен серостью и мрачностью образов, которыми пропитан мир вокруг. Соблюдая строгие рамки качества, визуального стиля и внимания к деталям, создается новая история, частью которой может стать каждый. enchant. – это видение, за которым стоит человек.","['https://enchantmoscow.com/?ref=russianstreetwear.club', 'https://www.instagram.com/enchantmoscow?ref=russianstreetwear.club', 'https://vk.com/enchantmoscow?ref=russianstreetwear.club']"
68,ENDY KÓCH,Санкт-Петербург,"ENDY KÓCH — повседневная мужская одежда из Санкт-Петербурга. Наша миссия — привнести в мир мужской одежды модели, не зависящие от трендов, но не менее стильные. Модели, которые приятно носить и использовать не один сезон. Мы продвигаем культуру разумного потребления. Идея: потребляй меньше, используй дольше, перерабатывай больше. Поэтому в нашем магазине вы встретите изделия с большим содержанием хлопка и экоматериалов. Такое решение продлевает срок эксплуатации и дает возможность переработки. Цель — создать бренд повседневной мужской одежды, приоритетами которого являются высокое качество, удобство и долговечность. Мы внимательно прорабатываем каждую модель и выбираем материалы, которые отвечают нашим ценностям. Ценности бренда заложены в названии. ENDY KÓCH — эргономичность, натуральный состав и экологичность, долговечность и изысканность. Родина и вдохновитель — город Санкт-Петербург.","['http://endykoch.com/?ref=russianstreetwear.club', 'https://www.instagram.com/endykoch?ref=russianstreetwear.club', 'https://vk.com/endykoch?ref=russianstreetwear.club']"
69,FABLE,Москва,"FABLE (англ. басня) — московский бренд, не ограничивающий себя рамками каких-либо концепций. FABLE выступает в качестве отражения движущей силы индустрии моды. Мы вдохновлены современным и прогрессивным поколением, которое отлично считывает мировые тенденции и точно знает, что ему нужно. Наша задача раздвигать границы, чтобы предоставить клиентам уникальный опыт взаимодействия с культурой через индустрию моды.","['https://fablestore.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/fablestore/?ref=russianstreetwear.club']"
70,FAJR WEAR,Москва,Одежда с патриотической вышивкой.,"['https://www.instagram.com/fajr_wear/?ref=russianstreetwear.club', 'https://t.me/fajr_wear?ref=russianstreetwear.club', 'https://vk.com/fajr_wear?ref=russianstreetwear.club']"
71,FANERA,None,"Признание любви к моде, которая вдохновлена на почве уличного стиля российских окраин. Предоставление своей точки зрения, как должна выглядеть локальная сцена стритвира.","['https://www.instagram.com/faneraclothing/?ref=russianstreetwear.club', 'https://vk.com/faneraclothing?ref=russianstreetwear.club']"
72,FARAGE,Нижний Новгород,Молодой и быстроразвивающийся бренд уличной одежды.,"['https://vk.com/faragestudio?ref=russianstreetwear.club', 'https://www.instagram.com/faragestudio/?ref=russianstreetwear.club']"
73,FICTION,Москва,Fiction был основан в 2007 году и по праву считается одним из первых российских уличных брендов одежды. «Корни имеют значение».,"['https://fictionwear.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/FICTIONWEAR/?ref=russianstreetwear.club', 'https://vk.com/fictionwear?ref=russianstreetwear.club']"
74,Forma Squad,Москва,"Forma Squad – это молодой бренд уличной повседневной одежды. Мы производим одежду из плотных и долговечных материалов, которые будут служить нашим покупателям независимо от того, где вы - на поляне или на вечеринке. Для воплощения наших идей и возможности своевременного контроля мы открыли свое швейное производство в Москве. Благодаря продуманному дизайну наша одежда толстеет и худеет вместе с Вами и подходит любому типу фигуры, не сковывает движения и регулируется по фигуре. Все изделия имеют свободный покрой, практичны и функциональны. Даже базовые изделия с каждой новой партией дорабатываются и приобретают новые черты. Во всех изделиях используется максимальный процент натуральных тканей. Чем ближе к телу, тем больше хлопка. В каталоге представлены портки – бестселлер марки, а также свитшоты, лонгсливы и спортивные костюмы. Будьте уверены, что приобретая наши изделия, Вы гарантированно получите высокое качество.  ","['https://instagram.com/forma_squad?ref=russianstreetwear.club', 'https://vk.com/forma_squad?ref=russianstreetwear.club']"
